date,mean_temperature,max_temperature,min_temperature,pressure,dew_point_temperature,wet_bulb_temperature,humidity,cloud,rainfall,grass_temperature,sunshine,radiation,evaporation,wind_direction,wind_speed,lightning,visibility
19750101,20.7,24.4,18.7,1017.1,17.0,18.4,80,65,0.0,16.4,6.4,,4.3,,,,
19750102,17.3,20.7,15.1,1021.5,11.5,14.1,69,60,Trace,14.3,6.2,,3.8,,,,
19750103,15.3,18.0,13.8,1023.1,10.1,12.6,71,82,0.0,13.5,1.7,,3.7,,,,
19750104,14.4,18.6,11.7,1023.5,7.9,11.1,65,14,0.0,8.5,9.8,,4.6,,,,
19750105,15.9,20.1,12.9,1022.6,9.8,12.7,67,60,0.0,10.1,7.4,,2.9,,,,
19750106,17.0,18.9,15.6,1020.6,12.4,14.5,75,96,Trace,14.5,0.0,,2.4,,,,
19750107,16.9,18.3,15.6,1017.4,14.6,15.5,86,100,2.7,14.5,0.0,,0.7,,,,
19750108,18.0,19.7,16.7,1016.5,16.4,17.1,91,100,1.0,15.9,0.0,,0.4,,,,
19750109,17.7,18.5,17.0,1019.5,15.9,16.7,90,97,2.0,16.4,0.0,,1.3,,,,
19750110,16.9,20.5,14.6,1020.8,10.7,13.5,67,63,0.0,13.1,5.4,,3.8,,,,
19750111,17.0,20.1,15.2,1020.1,8.7,12.7,58,77,0.0,13.1,3.8,,4.6,,,,
19750112,14.4,16.5,12.9,1021.4,7.6,11.1,64,98,0.4,11.4,0.0,,1.0,,,,
19750113,14.2,15.2,13.0,1019.9,11.2,12.7,82,100,3.1,11.5,0.0,,0.3,,,,
19750114,15.2,16.0,14.3,1016.4,14.0,14.6,93,100,2.6,13.8,0.0,,0.6,,,,
19750115,16.9,18.6,15.6,1015.9,15.2,15.9,90,94,5.4,14.2,0.5,,3.0,,,,
19750116,15.6,19.0,13.4,1019.8,7.3,11.5,58,55,0.0,12.1,7.4,,3.9,,,,
19750117,14.8,16.2,13.4,1021.7,9.1,11.9,69,82,0.0,10.9,1.1,,3.4,,,,
19750118,14.8,16.6,13.1,1023.4,8.2,11.5,65,83,Trace,10.2,2.4,,3.0,,,,
19750119,14.3,15.1,13.3,1024.2,9.8,12.0,74,97,Trace,12.2,0.2,,1.5,,,,
19750120,13.4,14.4,12.2,1023.1,11.2,12.2,87,100,2.7,11.5,0.0,,0.9,,,,
19750121,14.4,16.4,13.4,1019.6,13.1,13.7,92,98,0.4,12.6,0.0,,0.8,,,,
19750122,13.5,16.4,10.5,1021.4,6.6,10.2,64,19,0.0,6.6,10.1,,3.0,,,,
19750123,14.8,18.2,12.6,1020.7,10.4,12.5,75,23,0.0,7.9,9.4,,3.2,,,,
19750124,17.8,21.2,14.7,1020.3,14.3,15.8,80,60,Trace,11.8,1.2,,0.6,,,,
19750125,19.4,24.2,16.5,1020.2,15.0,16.8,76,52,0.1,10.3,7.0,,3.7,,,,
19750126,17.5,20.1,16.3,1018.9,14.8,15.9,84,92,1.3,14.1,0.0,,0.8,,,,
19750127,15.7,16.7,13.9,1020.0,13.3,14.4,86,98,8.5,13.5,0.0,,2.1,,,,
19750128,14.8,18.0,11.8,1021.7,8.2,11.5,65,43,0.0,9.0,8.4,,4.3,,,,
19750129,15.3,16.8,13.9,1020.2,10.9,13.0,75,93,0.5,11.9,0.5,,2.1,,,,
19750130,16.4,17.7,15.6,1019.9,15.3,15.8,93,99,5.1,14.0,0.0,,0.3,,,,
19750131,16.4,17.1,15.9,1018.7,14.5,15.3,88,97,Trace,14.9,0.0,,1.0,,,,
19750201,18.2,20.4,16.4,1016.8,17.1,17.5,94,96,Trace,15.5,0.0,,0.9,,,,
19750202,21.2,25.1,18.5,1014.0,19.3,20.0,89,83,0.0,17.8,6.2,,2.7,,,,
19750203,22.1,24.4,20.6,1013.5,20.4,21.0,90,85,0.0,18.8,1.7,,2.0,,,,
19750204,22.6,24.9,21.2,1013.6,20.5,21.2,88,75,0.0,20.4,3.3,,1.8,,,,
19750205,21.0,23.1,19.3,1013.9,19.6,20.1,92,85,Trace,18.4,1.3,,1.9,,,,
19750206,21.1,24.8,18.8,1013.7,19.6,20.1,91,83,0.0,18.3,1.1,,1.9,,,,
19750207,19.1,22.0,16.0,1015.2,17.9,18.4,93,85,4.4,17.4,1.7,,1.8,,,,
19750208,14.3,16.2,12.8,1018.8,12.5,13.3,89,100,9.1,14.0,0.0,,0.8,,,,
19750209,13.3,14.3,12.6,1018.3,11.0,12.0,86,99,2.1,12.1,0.0,,1.4,,,,
19750210,14.3,18.0,12.4,1020.4,9.9,12.0,75,93,Trace,11.5,2.8,,2.9,,,,
19750211,13.7,14.6,13.0,1019.9,10.6,12.1,82,96,2.2,12.1,0.3,,0.8,,,,
19750212,15.3,18.5,13.0,1017.3,12.3,13.7,83,96,0.6,12.6,1.1,,5.9,,,,
19750213,15.0,15.9,14.0,1013.8,13.3,14.0,89,100,15.9,13.5,0.0,,1.2,,,,
19750214,16.5,19.2,14.7,1013.5,14.0,15.1,85,41,1.2,12.8,10.3,,3.6,,,,
19750215,16.4,18.6,14.8,1018.0,12.0,14.0,76,72,Trace,11.0,2.2,,3.4,,,,
19750216,15.2,18.3,13.1,1019.8,11.1,13.0,77,90,Trace,12.4,1.7,,2.6,,,,
19750217,16.6,20.1,14.7,1018.2,11.4,13.7,72,72,0.0,13.0,5.1,,3.9,,,,
19750218,17.0,19.6,15.0,1019.8,11.5,14.0,70,80,Trace,13.4,2.4,,3.4,,,,
19750219,16.9,19.6,14.8,1022.4,9.2,12.9,61,38,0.2,13.3,9.0,,5.1,,,,
19750220,17.1,21.4,13.9,1024.3,3.0,10.8,43,7,0.0,9.6,10.2,,8.3,,,,
19750221,16.4,21.2,13.1,1023.8,-0.8,9.3,33,0,0.0,7.8,10.0,,5.4,,,,
19750222,15.4,19.6,12.4,1024.6,4.7,10.5,50,35,0.0,7.3,7.0,,4.9,,,,
19750223,15.5,19.1,13.1,1023.0,7.5,11.5,60,49,0.0,11.7,7.0,,4.8,,,,
19750224,17.3,20.8,14.9,1019.1,11.4,14.1,69,68,0.0,12.0,6.7,,4.7,,,,
19750225,20.3,25.3,17.3,1017.3,15.7,17.5,75,60,0.0,15.8,6.6,,3.4,,,,
19750226,19.5,23.1,17.2,1017.4,13.5,16.1,70,35,0.0,15.5,8.4,,5.8,,,,
